pub_ID,title,authors,dois,keywords,grant_num
36832064,Review of HIV Self Testing Technologies and Promising Approaches for the Next Generation.,"['Bacon A', 'Wang W', 'Lee H', 'Umrao S', 'Sinawang PD', 'Akin D', 'Khemtonglang K', 'Tan A', 'Hirshfield S', 'Demirci U', 'Wang X', 'Cunningham BT']",doi: 10.3390/bios13020298,"['HIV self-testing', 'HIV viral load', 'LFA', 'biosensor', 'viral testing']",AA029348
35881910,Net-Shaped DNA Nanostructures Designed for Rapid/Sensitive Detection and Potential Inhibition of the SARS-CoV-2 Virus.,"['Chauhan N', 'Xiong Y', 'Ren S', 'Dwivedy A', 'Magazine N', 'Zhou L', 'Jin X', 'Zhang T', 'Cunningham BT', 'Yao S', 'Huang W', 'Wang X']",doi: 10.1021/jacs.2c04835,No keywords,AA029348
35684461,Synthesis of Holmium-Oxide Nanoparticles for Near-Infrared Imaging and Dye-Photodegradation.,"['Zhu J', 'Shao XJ', 'Li Z', 'Lin CH', 'Wang CW', 'Jiao K', 'Xu J', 'Pan HX', 'Wu Y']",doi: 10.3390/molecules27113522,"['dye-photodegradation', 'fluorescence imaging', 'holmium oxides', 'nanoparticles', 'near-infrared imaging']",AA029348
35337047,Mutations and Evolution of the SARS-CoV-2 Spike Protein.,"['Magazine N', 'Zhang T', 'Wu Y', 'McGee MC', 'Veggiani G', 'Huang W']",doi: 10.3390/v14030640,"['COVID-19', 'SARS-CoV-2', 'evolution', 'immune escape', 'infectivity', 'mutation', 'spike']",AA029348
35220716,Aptamers for Viral Detection and Inhibition.,"['Chakraborty B', 'Das S', 'Gupta A', 'Xiong Y', 'T-V V', 'Kizer ME', 'Duan J', 'Chandrasekaran AR', 'Wang X']",doi: 10.1021/acsinfecdis.1c00546,"['DNA nanostructures', 'aptamers', 'aptasensors', 'inhibition', 'sensing', 'viruses']",AA029348
35013618,Designer DNA nanostructures for viral inhibition.,"['Ren S', 'Fraser K', 'Kuo L', 'Chauhan N', 'Adrian AT', 'Zhang F', 'Linhardt RJ', 'Kwon PS', 'Wang X']",doi: 10.1038/s41596-021-00641-y,No keywords,AA029348
34840515,"Overcoming the limitations of COVID-19 diagnostics with nanostructures, nucleic acid engineering, and additive manufacturing.","['Li N', 'Zhao B', 'Stavins R', 'Peinetti AS', 'Chauhan N', 'Bashir R', 'Cunningham BT', 'King WP', 'Lu Y', 'Wang X', 'Valera E']",doi: 10.1016/j.cossms.2021.100966,"['Additive manufactured materials', 'COVID-19 diagnostics', 'Nanochemistry', 'Nanomaterials', 'Nanostructures', 'Nucleic acid engineering', 'Point-of-care diagnosis', 'SARS-CoV-2']",AA029348
34787963,Detection of pancreatic cancer by indocyanine green-assisted fluorescence imaging in the first and second near-infrared windows.,"['Li Z', 'Li Z', 'Ramos A', 'Boudreaux JP', 'Thiagarajan R', 'Mattison YB', 'Dunham ME', 'McWhorter AJ', 'Chen Q', 'Zhang J', 'Feng JM', 'Li Y', 'Yao S', 'Xu J']",doi: 10.1002/cac2.12236,No keywords,AA029348
34433933,Nanocages for virus inhibition.,"['Chauhan N', 'Wang X']",doi: 10.1038/s41563-021-01088-y,No keywords,AA029348
37333099,"More spice, less salt: how capsaicin affects liking for and perceived saltiness of foods in people with smell loss.","['Hunter SR', 'Beatty C', 'Dalton PH']",pii: 2023.06.05.23290966. doi: 10.1101/2023.06.05.23290966,No keywords,DC019578
36796784,Proof-of-concept: SCENTinel 1.1 rapidly discriminates COVID-19-related olfactory disorders.,"['Hunter SR', 'Hannum ME', 'Pellegrino R', ""O'Leary MA"", 'Rawson NE', 'Reed DR', 'Dalton PH', 'Parma V']",doi: 10.1093/chemse/bjad002,"['anosmia', 'hyposmia', 'parosmia', 'phantosmia', 'prediction', 'smell test']",DC019578
35350197,Proof-of-concept: SCENTinel 1.1 rapidly discriminates COVID-19 related olfactory disorders.,"['Hunter SR', 'Hannum ME', 'Pellegrino R', ""O'Leary MA"", 'Rawson NE', 'Reed DR', 'Dalton PH', 'Parma V']",pii: 2022.03.23.22272807. doi: 10.1101/2022.03.23.22272807,"['Anosmia', 'hyposmia', 'parosmia', 'phantosmia', 'prediction', 'smell test']",DC019578
35313597,The Adaptive Olfactory Measure of Threshold (ArOMa-T): A rapid test of olfactory function.,"['Weir EM', 'Hannum ME', 'Reed DR', 'Joseph PV', 'Munger SD', 'Hayes JE', 'Gerkin RC']",pii: 2022.03.08.22272086. doi: 10.1101/2022.03.08.22272086,No keywords,DC019578
34848930,Massively collaborative crowdsourced research on COVID19 and the chemical senses: Insights and outcomes.,"['Weir EM', 'Reed DR', 'Pepino MY', 'Veldhuizen MG', 'Hayes JE']",doi: 10.1016/j.foodqual.2021.104483,"['Anosmia', 'COVID19', 'GCCR', 'Open science', 'Smell', 'Taste']",DC019578
34671775,Taste loss as a distinct symptom of COVID-19: A systematic review and meta-analysis.,"['Hannum ME', 'Koch RJ', 'Ramirez VA', 'Marks SS', 'Toskala AK', 'Herriman RD', 'Lin C', 'Joseph PV', 'Reed DR']",pii: 2021.10.09.21264771. doi: 10.1101/2021.10.09.21264771,No keywords,DC019578
33773496,SCENTinel 1.0: Development of a Rapid Test to Screen for Smell Loss.,"['Parma V', 'Hannum ME', ""O'Leary M"", 'Pellegrino R', 'Rawson NE', 'Reed DR', 'Dalton PH']",doi: 10.1093/chemse/bjab012,"['anosmia', 'hyposmia', 'prediction', 'smell loss', 'smell test']",DC019578
33447880,The functional relevance of olfactory marker protein in the vertebrate olfactory system: a never-ending story.,"['Dibattista M', 'Al Koborssy D', 'Genovese F', 'Reisert J']",doi: 10.1007/s00441-020-03349-9,"['Olfactory bulb', 'Olfactory marker protein', 'Olfactory receptor neurons', 'Signal transduction']",DC019578
32743605,The best COVID-19 predictor is recent smell loss: a cross-sectional study.,"['Gerkin RC', 'Ohla K', 'Veldhuizen MG', 'Joseph PV', 'Kelly CE', 'Bakke AJ', 'Steele KE', 'Farruggia MC', 'Pellegrino R', 'Pepino MY', 'Bouysset C', 'Soler GM', 'Pereda-Loth V', 'Dibattista M', 'Cooper KW', 'Croijmans I', 'Di Pizio A', 'Ozdener MH', 'Fjaeldstad AW', 'Lin C', 'Sandell MA', 'Singh PB', 'Brindha VE', 'Olsson SB', 'Saraiva LR', 'Ahuja G', 'Alwashahi MK', 'Bhutani S', ""D'Errico A"", 'Fornazieri MA', 'Golebiowski J', 'Hwang LD', 'Öztürk L', 'Roura E', 'Spinelli S', 'Whitcroft KL', 'Faraji F', 'Fischmeister FPS', 'Heinbockel T', 'Hsieh JW', 'Huart C', 'Konstantinidis I', 'Menini A', 'Morini G', 'Olofsson JK', 'Philpott CM', 'Pierron D', 'Shields VDC', 'Voznessenskaya VV', 'Albayay J', 'Altundag A', 'Bensafi M', 'Bock MA', 'Calcinoni O', 'Fredborg W', 'Laudamiel C', 'Lim J', 'Lundström JN', 'Macchi A', 'Meyer P', 'Moein ST', 'Santamaría E', 'Sengupta D', 'Domínguez PP', 'Yanık H', 'Boesveldt S', 'de Groot JHB', 'Dinnella C', 'Freiherr J', 'Laktionova T', 'Mariño S', 'Monteleone E', 'Nunez-Parra A', 'Abdulrahman O', 'Ritchie M', 'Thomas-Danguin T', 'Walsh-Messinger J', 'Al Abri R', 'Alizadeh R', 'Bignon E', 'Cantone E', 'Cecchini MP', 'Chen J', 'Guàrdia MD', 'Hoover KC', 'Karni N', 'Navarro M', 'Nolden AA', 'Mazal PP', 'Rowan NR', 'Sarabi-Jamab A', 'Archer NS', 'Chen B', 'Di Valerio EA', 'Feeney EL', 'Frasnelli J', 'Hannum M', 'Hopkins C', 'Klein H', 'Mignot C', 'Mucignat C', 'Ning Y', 'Ozturk EE', 'Peng M', 'Saatci O', 'Sell EA', 'Yan CH', 'Alfaro R', 'Cecchetto C', 'Coureaud G', 'Herriman RD', 'Justice JM', 'Kaushik PK', 'Koyama S', 'Overdevest JB', 'Pirastu N', 'Ramirez VA', 'Roberts SC', 'Smith BC', 'Cao H', 'Wang H', 'Balungwe P', 'Baguma M', 'Hummel T', 'Hayes JE', 'Reed DR', 'Niv MY', 'Munger SD', 'Parma V']",pii: 2020.07.22.20157263. doi: 10.1101/2020.07.22.20157263,No keywords,DC019578
32676608,Objective sensory testing methods reveal a higher prevalence of olfactory loss in COVID-19 positive patients compared to subjective methods: A systematic review and meta-analysis.,"['Hannum ME', 'Ramirez VA', 'Lipson SJ', 'Herriman RD', 'Toskala AK', 'Lin C', 'Joseph PV', 'Reed DR']",pii: 2020.07.04.20145870. doi: 10.1101/2020.07.04.20145870,No keywords,DC019578
32564071,"More Than Smell-COVID-19 Is Associated With Severe Impairment of Smell, Taste, and Chemesthesis.","['Parma V', 'Ohla K', 'Veldhuizen MG', 'Niv MY', 'Kelly CE', 'Bakke AJ', 'Cooper KW', 'Bouysset C', 'Pirastu N', 'Dibattista M', 'Kaur R', 'Liuzza MT', 'Pepino MY', 'Schöpf V', 'Pereda-Loth V', 'Olsson SB', 'Gerkin RC', 'Rohlfs Domínguez P', 'Albayay J', 'Farruggia MC', 'Bhutani S', 'Fjaeldstad AW', 'Kumar R', 'Menini A', 'Bensafi M', 'Sandell M', 'Konstantinidis I', 'Di Pizio A', 'Genovese F', 'Öztürk L', 'Thomas-Danguin T', 'Frasnelli J', 'Boesveldt S', 'Saatci Ö', 'Saraiva LR', 'Lin C', 'Golebiowski J', 'Hwang LD', 'Ozdener MH', 'Guàrdia MD', 'Laudamiel C', 'Ritchie M', 'Havlícek J', 'Pierron D', 'Roura E', 'Navarro M', 'Nolden AA', 'Lim J', 'Whitcroft KL', 'Colquitt LR', 'Ferdenzi C', 'Brindha EV', 'Altundag A', 'Macchi A', 'Nunez-Parra A', 'Patel ZM', 'Fiorucci S', 'Philpott CM', 'Smith BC', 'Lundström JN', 'Mucignat C', 'Parker JK', 'van den Brink M', 'Schmuker M', 'Fischmeister FPS', 'Heinbockel T', 'Shields VDC', 'Faraji F', 'Santamaría E', 'Fredborg WEA', 'Morini G', 'Olofsson JK', 'Jalessi M', 'Karni N', ""D'Errico A"", 'Alizadeh R', 'Pellegrino R', 'Meyer P', 'Huart C', 'Chen B', 'Soler GM', 'Alwashahi MK', 'Welge-Lüssen A', 'Freiherr J', 'de Groot JHB', 'Klein H', 'Okamoto M', 'Singh PB', 'Hsieh JW', 'GCCR Group Author', 'Reed DR', 'Hummel T', 'Munger SD', 'Hayes JE']",doi: 10.1093/chemse/bjaa041,"['head and neck surgery', 'olfaction', 'somatosensation']",DC019578
32556127,Identifying Treatments for Taste and Smell Disorders: Gaps and Opportunities.,"['Mainland JD', 'Barlow LA', 'Munger SD', 'Millar SE', 'Vergara MN', 'Jiang P', 'Schwob JE', 'Goldstein BJ', 'Boye SE', 'Martens JR', 'Leopold DA', 'Bartoshuk LM', 'Doty RL', 'Hummel T', 'Pinto JM', 'Trimmer C', 'Kelly C', 'Pribitkin EA', 'Reed DR']",doi: 10.1093/chemse/bjaa038,"['cell culture', 'olfaction', 'sniff']",DC019578
37350646,Covid-19 affects taste independent of taste-smell confusions: results from a combined chemosensory home test and online survey from a large global cohort.,"['Nguyen H', 'Albayay J', 'Höchenberger R', 'Bhutani S', 'Boesveldt S', 'Busch NA', 'Croijmans I', 'Cooper KW', 'de Groot JHB', 'Farruggia MC', 'Fjaeldstad AW', 'Hayes JE', 'Hummel T', 'Joseph PV', 'Laktionova TK', 'Thomas-Danguin T', 'Veldhuizen MG', 'Voznessenskaya VV', 'Parma V', 'Pepino MY', 'Ohla K']",doi: 10.1093/chemse/bjad020,"['ageusia', 'anosmia', 'chemesthesis', 'gustation', 'olfaction', 'taste–smell confusion']",DC019573
37034638,"Transient loss and recovery of oral chemesthesis, taste and smell with COVID-19: a small case-control series.","['Weir EM', 'Exten C', 'Gerkin RC', 'Munger SD', 'Hayes JE']",pii: 2023.03.27.23287763. doi: 10.1101/2023.03.27.23287763,No keywords,DC019573
36469087,The Adaptive Olfactory Measure of Threshold (ArOMa-T): a rapid test of olfactory function.,"['Weir EM', 'Hannum ME', 'Reed DR', 'Joseph PV', 'Munger SD', 'Hayes JE', 'Gerkin RC']",doi: 10.1093/chemse/bjac036,"['COVID-19', 'adaptive algorithm', 'anosmia', 'detection threshold', 'sex differences', 'smell']",DC019573
35313597,The Adaptive Olfactory Measure of Threshold (ArOMa-T): A rapid test of olfactory function.,"['Weir EM', 'Hannum ME', 'Reed DR', 'Joseph PV', 'Munger SD', 'Hayes JE', 'Gerkin RC']",pii: 2022.03.08.22272086. doi: 10.1101/2022.03.08.22272086,No keywords,DC019573
34848930,Massively collaborative crowdsourced research on COVID19 and the chemical senses: Insights and outcomes.,"['Weir EM', 'Reed DR', 'Pepino MY', 'Veldhuizen MG', 'Hayes JE']",doi: 10.1016/j.foodqual.2021.104483,"['Anosmia', 'COVID19', 'GCCR', 'Open science', 'Smell', 'Taste']",DC019573
33860304,Parsing Sage and Rosemary in Time: The Machine Learning Race to Crack Olfactory Perception.,['Gerkin RC'],doi: 10.1093/chemse/bjab020,"['computation', 'feature extraction', 'modeling', 'olfaction', 'psychophysics', 'smell']",DC019573
32997557,Kv4 channel expression and kinetics in GABAergic and non-GABAergic rNST neurons.,"['Chen Z', 'Boxwell A', 'Conte C', 'Haas T', 'Harley A', 'Terman DH', 'Travers SP', 'Travers JB']",doi: 10.1152/jn.00396.2020,"['brain stem', 'computational model', 'dynamic clamp', 'mouse', 'taste']",DC016112
30325514,Neurons with diverse phenotypes project from the caudal to the rostral nucleus of the solitary tract.,"['Travers S', 'Breza J', 'Harley J', 'Zhu J', 'Travers J']",doi: 10.1002/cne.24501,"['RRID MMRRC_036778-UCD', 'RRID: AB_10013483', 'RRID: AB_2040054', 'RRID: AB_221569', 'RRID: AB_2314409', 'RRID: AB_2315160', 'RRID: AB_2315161', 'RRID: AB_390204', 'RRID: AB_90738', 'RRID: ISMR_JAX 016963', 'RRID: ISMR_JAX: 000664', 'RRID: ISMR_JAX: 007908', 'RRID: ISMR_JAX: 010802', 'RRID: ISMR_RBRC09645', 'RRID:AB_90755', 'intrasolitary', 'rNST subdivisions', 'taste', 'visceral']",DC016112
29985917,Gain control with A-type potassium current: IA as a switch between divisive and subtractive inhibition.,"['Goldwyn JH', 'Slabe BR', 'Travers JB', 'Terman D']",doi: 10.1371/journal.pcbi.1006292,No keywords,DC016112
37421280,Adenosine A(2A) Receptor Regulates microRNA-181b Expression in Aorta: Therapeutic Implications for Large-Artery Stiffness.,"['Akiyoshi K', 'Fujimori T', 'Fu X', 'Shah AP', 'Yamaguchi A', 'Steenbergen C', 'Santhanam L', 'Berkowitz D', 'Tuday E', 'Baraban JM', 'Das S']",doi: 10.1161/JAHA.122.028421,"['adenosine A2A receptor', 'microRNA', 'microRNA degradation', 'microRNA‐181b', 'translin/trax', 'vascular stiffness']",TR003780
36827227,Contribution of skeletal muscle-specific microRNA-133b to insulin resistance in heart failure.,"['Velasquez FC', 'Roman B', 'Hernández-Ochoa EO', 'Leppo MK', 'Truong SK', 'Steenbergen C', 'Schneider MF', 'Weiss RG', 'Das S']",doi: 10.1152/ajpheart.00250.2022,"['heart failure', 'miR-133b', 'microRNA', 'mitochondria', 'skeletal muscle']",TR003780
34879063,Role of miR-181c in Diet-induced obesity through regulation of lipid synthesis in liver.,"['Akiyoshi K', 'Boersma GJ', 'Johnson MD', 'Velasquez FC', 'Dunkerly-Eyring B', ""O'Brien S"", 'Yamaguchi A', 'Steenbergen C', 'Tamashiro KLK', 'Das S']",doi: 10.1371/journal.pone.0256973,No keywords,TR003780
34646165,Deciphering the Role of microRNAs in Large-Artery Stiffness Associated With Aging: Focus on miR-181b.,"['Baraban JM', 'Tuday E', 'Berkowitz DE', 'Das S']",doi: 10.3389/fphys.2021.747789,"['aging', 'arterial stiffness', 'miR-181b', 'microRNA degradation', 'translin/trax']",TR003780
34304585,Degradation of Premature-miR-181b by the Translin/Trax RNase Increases Vascular Smooth Muscle Cell Stiffness.,"['Tuday E', 'Nakano M', 'Akiyoshi K', 'Fu X', 'Shah AP', 'Yamaguchi A', 'Steenbergen C', 'Santhanam L', 'An SS', 'Berkowitz D', 'Baraban JM', 'Das S']",doi: 10.1161/HYPERTENSIONAHA.120.16690,"['aorta', 'cardiovascular diseases', 'microRNA degradation', 'risk factors', 'vascular smooth muscle', 'vasopressin']",TR003780
36934525,Emerging role of extracellular vesicles in multiple sclerosis: From cellular surrogates to pathogenic mediators and beyond.,"['Palacio PL', 'Pleet ML', 'Reátegui E', 'Magaña SM']",doi: 10.1016/j.jneuroim.2023.578064,"['Exosomes', 'Extracellular vesicles', 'Multiple sclerosis', 'Non-coding RNA', 'miRNA']",TR003807
36093740,An immunogold single extracellular vesicular RNA and protein ((Au) SERP) biochip to predict responses to immunotherapy in non-small cell lung cancer patients.,"['Nguyen LTH', 'Zhang J', 'Rima XY', 'Wang X', 'Kwak KJ', 'Okimoto T', 'Amann J', 'Yoon MJ', 'Shukuya T', 'Chiang CL', 'Walters N', 'Ma Y', 'Belcher D', 'Li H', 'Palmer AF', 'Carbone DP', 'Lee LJ', 'Reátegui E']",doi: 10.1002/jev2.12258,No keywords,TR003807
35579189,Microfluidic harvesting of breast cancer tumor spheroid-derived extracellular vesicles from immobilized microgels for single-vesicle analysis.,"['Rima XY', 'Zhang J', 'Nguyen LTH', 'Rajasuriyar A', 'Yoon MJ', 'Chiang CL', 'Walters N', 'Kwak KJ', 'Lee LJ', 'Reátegui E']",doi: 10.1039/d1lc01053k,No keywords,TR003807
37428010,MYC overrides HIF-1α to regulate proliferating primary cell metabolism in hypoxia.,"['Copeland CA', 'Olenchock BA', 'Ziehr D', 'McGarrity S', 'Leahy K', 'Young JD', 'Loscalzo J', 'Oldham WM']",doi: 10.7554/eLife.82597,"['MYC', 'biochemistry', 'cell biology', 'chemical biology', 'human', 'hypoxia', 'hypoxia-inducible factor', 'metabolic flux analysis', 'prolyl hydroxylase']",HL119145
37226730,Phenomics and Robust Multiomics Data for Cardiovascular Disease Subtyping.,"['Maiorino E', 'Loscalzo J']",doi: 10.1161/ATVBAHA.122.318892,"['algorithms', 'coronary artery disease', 'heart failure', 'multiomics', 'precision medicine']",HL119145
37039628,Local generation and efficient evaluation of numerous drug combinations in a single sample.,"['Elgart V', 'Loscalzo J']",doi: 10.7554/eLife.85439,"['barcoding', 'computational biology', 'drug combinations', 'high-throughput', 'human', 'medicine', 'optimization', 'single-cell', 'systems biology']",HL119145
37028977,Development and Validation of an Acute Respiratory Distress Syndrome Prediction Model in Coronavirus Disease 2019: Updated Lung Injury Prediction Score.,"['Tekin A', 'Qamar S', 'Sharma M', 'Singh R', 'Malinchoc M', 'Bansal V', 'Deo N', 'Bogojevic M', 'Valencia-Morales DJ', 'Zec S', 'Zorko-Garbajs N', 'Sharma N', 'Lal A', 'Sanghavi DK', 'Cartin-Ceba R', 'Khan SA', 'La Nou AT', 'Cherian A', 'Zabolotskikh IB', 'Kumar VK', 'Kashyap R', 'Walkey AJ', 'Domecq JP', 'Yadav H', 'Gajic O', 'Odeyemi YE', 'Society of Critical Care Medicine Discovery Viral Infection and Respiratory Illness Universal Study (VIRUS): COVID-19 Registry Investigator Group']",doi: 10.1016/j.mayocp.2022.11.021,No keywords,HL119145
36949045,Assessment of community efforts to advance network-based prediction of protein-protein interactions.,"['Wang XW', 'Madeddu L', 'Spirohn K', 'Martini L', 'Fazzone A', 'Becchetti L', 'Wytock TP', 'Kovács IA', 'Balogh OM', 'Benczik B', 'Pétervári M', 'Ágg B', 'Ferdinandy P', 'Vulliard L', 'Menche J', 'Colonnese S', 'Petti M', 'Scarano G', 'Cuomo F', 'Hao T', 'Laval F', 'Willems L', 'Twizere JC', 'Vidal M', 'Calderwood MA', 'Petrillo E', 'Barabási AL', 'Silverman EK', 'Loscalzo J', 'Velardi P', 'Liu YY']",doi: 10.1038/s41467-023-37079-7,No keywords,HL119145
36794589,Multiomics Network Medicine Approaches to Precision Medicine and Therapeutics in Cardiovascular Diseases.,"['Wang RS', 'Maron BA', 'Loscalzo J']",doi: 10.1161/ATVBAHA.122.318731,"['cardiovascular diseases', 'multiomics', 'network medicine', 'precision medicine']",HL119145
36565787,Pursuing functional biomarkers in complex disease: Focus on pulmonary arterial hypertension.,"['Benincasa G', 'Napoli C', 'Loscalzo J', 'Maron BA']",doi: 10.1016/j.ahj.2022.12.009,"['Artificial intelligence', 'Biomarkers', 'Network analysis', 'Omics', 'Pulmonary arterial hypertension']",HL119145
36275710,"""Rogue"" neutrophil-subset [DEspR+CD11b+/CD66b+] immunotype is an actionable therapeutic target for neutrophilic inflammation-mediated tissue injury - studies in human, macaque and rat LPS-inflammation models.","['Carstensen S', 'Müller M', 'Tan GLA', 'Pasion KA', 'Hohlfeld JM', 'Herrera VLM', 'Ruiz-Opazo N']",doi: 10.3389/fimmu.2022.1008390,"['DEspR', 'LPS-acute inflammation tissue injury models', 'LPS-brain encephalopathy', 'acute lung injury', 'neutrophil subset', 'segmental LPS challenge']",HL119145
36043417,L-2-Hydroxyglutarate Protects Against Cardiac Injury via Metabolic Remodeling.,"['He H', 'Mulhern RM', 'Oldham WM', 'Xiao W', 'Lin YD', 'Liao R', 'Loscalzo J']",doi: 10.1161/CIRCRESAHA.122.321227,"['L-2-hydroxyglutarate dehydrogenase', 'glycolysis', 'ischemia', 'oxidative stress', 'pentose phosphate pathway', 'reactive oxygen species', 'reperfusion injury']",HL119145
