pm_id,title,pmc_id,authors,doi,keywords,mesh_ids,mesh_terms,project_serial_num,journal_name,publication_year
35881910,Net-Shaped DNA Nanostructures Designed for Rapid/Sensitive Detection and Potential Inhibition of the SARS-CoV-2 Virus.,PMC9344894,"""Chauhan N, Xiong Y, Ren S, Dwivedy A, Magazine N, Zhou L, Jin X, Zhang T, Cunningham BT, Yao S, Huang W, Wang X""",doi:10.1021/jacs.2c04835,,,,AA029348,Journal of the American Chemical Society,2022
35684461,Synthesis of Holmium-Oxide Nanoparticles for Near-Infrared Imaging and Dye-Photodegradation.,PMC9181859,"""Zhu J, Shao XJ, Li Z, Lin CH, Wang CW, Jiao K, Xu J, Pan HX, Wu Y""",doi:10.3390/molecules27113522,"""dye-photodegradation, fluorescence imaging, holmium oxides, nanoparticles, near-infrared imaging""","""D000818, D006695, D008027, D053758, D010087, D010782""","""Animals, Holmium, Light, Nanoparticles, Oxides, Photolysis""",AA029348,"Molecules (Basel, Switzerland)",2022
35337047,Mutations and Evolution of the SARS-CoV-2 Spike Protein.,PMC8949778,"""Magazine N, Zhang T, Wu Y, McGee MC, Veggiani G, Huang W""",doi:10.3390/v14030640,"""COVID-19, SARS-CoV-2, evolution, immune escape, infectivity, mutation, spike""","""D000086382, D006801, D008562, D009154, D000086402, D064370, D014759""","""COVID-19, Humans, Membrane Glycoproteins, Mutation, SARS-CoV-2, Spike Glycoprotein, Coronavirus, Viral Envelope Proteins""",AA029348,Viruses,2022
35220716,Aptamers for Viral Detection and Inhibition.,PMC8905934,"""Chakraborty B, Das S, Gupta A, Xiong Y, T-V V, Kizer ME, Duan J, Chandrasekaran AR, Wang X""",doi:10.1021/acsinfecdis.1c00546,"""DNA nanostructures, aptamers, aptasensors, inhibition, sensing, viruses""","""D000818, D052157, D015374, D036103, D014777, D014780""","""Animals, Aptamers, Nucleotide, Biosensing Techniques, Nanotechnology, Virus Diseases, Viruses""",AA029348,ACS infectious diseases,2022
35013618,Designer DNA nanostructures for viral inhibition.,PMC8852688,"""Ren S, Fraser K, Kuo L, Chauhan N, Adrian AT, Zhang F, Linhardt RJ, Kwon PS, Wang X""",doi:10.1038/s41596-021-00641-y,,"""D049329""","""Nanostructures""",AA029348,Nature protocols,2022
34840515,"Overcoming the limitations of COVID-19 diagnostics with nanostructures, nucleic acid engineering, and additive manufacturing.",PMC8604633,"""Li N, Zhao B, Stavins R, Peinetti AS, Chauhan N, Bashir R, Cunningham BT, King WP, Lu Y, Wang X, Valera E""",doi:10.1016/j.cossms.2021.100966,"""Additive manufactured materials, COVID-19 diagnostics, Nanochemistry, Nanomaterials, Nanostructures, Nucleic acid engineering, Point-of-care diagnosis, SARS-CoV-2""",,,AA029348,Current opinion in solid state & materials science,2022
34787963,Detection of pancreatic cancer by indocyanine green-assisted fluorescence imaging in the first and second near-infrared windows.,PMC8696222,"""Li Z, Li Z, Ramos A, Boudreaux JP, Thiagarajan R, Mattison YB, Dunham ME, McWhorter AJ, Chen Q, Zhang J, Feng JM, Li Y, Yao S, Xu J""",doi:10.1002/cac2.12236,,"""D006801, D007208, D061848, D010190""","""Humans, Indocyanine Green, Optical Imaging, Pancreatic Neoplasms""",AA029348,"Cancer communications (London, England)",2021
34433933,Nanocages for virus inhibition.,,"""Chauhan N, Wang X""",doi:10.1038/s41563-021-01088-y,,"""D053758""","""Nanoparticles""",AA029348,Nature materials,2021
37333099,"More spice, less salt: how capsaicin affects liking for and perceived saltiness of foods in people with smell loss.",PMC10275002,"""Hunter SR, Beatty C, Dalton PH""",doi:10.1101/2023.06.05.23290966,,,,DC019578,medRxiv : the preprint server for health sciences,2023
36796784,Proof-of-concept: SCENTinel 1.1 rapidly discriminates COVID-19-related olfactory disorders.,PMC9935080,"""Hunter SR, Hannum ME, Pellegrino R, ""OLeary MA"", Rawson NE, Reed DR, Dalton PH, Parma V""",doi:10.1093/chemse/bjad002,"""anosmia, hyposmia, parosmia, phantosmia, prediction, smell test""","""D006801, D000086402, D000086582, D000086382, D000857, D012903""","""Humans, SARS-CoV-2, Anosmia, COVID-19, Olfaction Disorders, Smell""",DC019578,Chemical senses,2023
35350197,Proof-of-concept: SCENTinel 1.1 rapidly discriminates COVID-19 related olfactory disorders.,PMC8963695,"""Hunter SR, Hannum ME, Pellegrino R, ""OLeary MA"", Rawson NE, Reed DR, Dalton PH, Parma V""",doi:10.1101/2022.03.23.22272807,"""Anosmia, hyposmia, parosmia, phantosmia, prediction, smell test""",,,DC019578,medRxiv : the preprint server for health sciences,2022
35313597,The Adaptive Olfactory Measure of Threshold (ArOMa-T): A rapid test of olfactory function.,PMC8936104,"""Weir EM, Hannum ME, Reed DR, Joseph PV, Munger SD, Hayes JE, Gerkin RC""",doi:10.1101/2022.03.08.22272086,,,,DC019578,medRxiv : the preprint server for health sciences,2022
35171979,Taste loss as a distinct symptom of COVID-19: a systematic review and meta-analysis.,PMC8849313,"""Hannum ME, Koch RJ, Ramirez VA, Marks SS, Toskala AK, Herriman RD, Lin C, Joseph PV, Reed DR""",doi:10.1093/chemse/bjac001,"""COVID-19, ageusia, coronavirus, gustatory dysfunction, taste loss""","""D000328, D000370, D000086382, D005260, D006801, D008297, D008875, D000086402""","""Adult, Ageusia, COVID-19, Female, Humans, Male, Middle Aged, SARS-CoV-2""",DC019578,Chemical senses,2022
34848930,Massively collaborative crowdsourced research on COVID19 and the chemical senses: Insights and outcomes.,PMC8616712,"""Weir EM, Reed DR, Pepino MY, Veldhuizen MG, Hayes JE""",doi:10.1016/j.foodqual.2021.104483,"""Anosmia, COVID19, GCCR, Open science, Smell, Taste""",,,DC019578,Food quality and preference,2022
34671775,Taste loss as a distinct symptom of COVID-19: A systematic review and meta-analysis.,PMC8528083,"""Hannum ME, Koch RJ, Ramirez VA, Marks SS, Toskala AK, Herriman RD, Lin C, Joseph PV, Reed DR""",doi:10.1101/2021.10.09.21264771,,,,DC019578,medRxiv : the preprint server for health sciences,2021
33773496,SCENTinel 1.0: Development of a Rapid Test to Screen for Smell Loss.,PMC8083606,"""Parma V, Hannum ME, ""OLeary M"", Pellegrino R, Rawson NE, Reed DR, Dalton PH""",doi:10.1093/chemse/bjab012,"""anosmia, hyposmia, prediction, smell loss, smell test""","""D000293, D000328, D000368, D000465, D001499, D000086382, D005260, D006801, D008297, D008875, D009812, D000857, D055815""","""Adolescent, Adult, Aged, Algorithms, Bayes Theorem, COVID-19, Female, Humans, Male, Middle Aged, Odorants, Olfaction Disorders, Young Adult""",DC019578,Chemical senses,2021
33447880,The functional relevance of olfactory marker protein in the vertebrate olfactory system: a never-ending story.,PMC7878404,"""Dibattista M, Al Koborssy D, Genovese F, Reisert J""",doi:10.1007/s00441-020-03349-9,"""Olfactory bulb, Olfactory marker protein, Olfactory receptor neurons, Signal transduction""","""D000818, D051842, D018034, D014714""","""Animals, Olfactory Marker Protein, Olfactory Receptor Neurons, Vertebrates""",DC019578,Cell and tissue research,2021
32743605,The best COVID-19 predictor is recent smell loss: a cross-sectional study.,PMC7386529,"""Gerkin RC, Ohla K, Veldhuizen MG, Joseph PV, Kelly CE, Bakke AJ, Steele KE, Farruggia MC, Pellegrino R, Pepino MY, Bouysset C, Soler GM, Pereda-Loth V, Dibattista M, Cooper KW, Croijmans I, Di Pizio A, Ozdener MH, Fjaeldstad AW, Lin C, Sandell MA, Singh PB, Brindha VE, Olsson SB, Saraiva LR, Ahuja G, Alwashahi MK, Bhutani S, ""DErrico A"", Fornazieri MA, Golebiowski J, Hwang LD, Öztürk L, Roura E, Spinelli S, Whitcroft KL, Faraji F, Fischmeister FPS, Heinbockel T, Hsieh JW, Huart C, Konstantinidis I, Menini A, Morini G, Olofsson JK, Philpott CM, Pierron D, Shields VDC, Voznessenskaya VV, Albayay J, Altundag A, Bensafi M, Bock MA, Calcinoni O, Fredborg W, Laudamiel C, Lim J, Lundström JN, Macchi A, Meyer P, Moein ST, Santamaría E, Sengupta D, Domínguez PP, Yanık H, Boesveldt S, de Groot JHB, Dinnella C, Freiherr J, Laktionova T, Mariño S, Monteleone E, Nunez-Parra A, Abdulrahman O, Ritchie M, Thomas-Danguin T, Walsh-Messinger J, Al Abri R, Alizadeh R, Bignon E, Cantone E, Cecchini MP, Chen J, Guàrdia MD, Hoover KC, Karni N, Navarro M, Nolden AA, Mazal PP, Rowan NR, Sarabi-Jamab A, Archer NS, Chen B, Di Valerio EA, Feeney EL, Frasnelli J, Hannum M, Hopkins C, Klein H, Mignot C, Mucignat C, Ning Y, Ozturk EE, Peng M, Saatci O, Sell EA, Yan CH, Alfaro R, Cecchetto C, Coureaud G, Herriman RD, Justice JM, Kaushik PK, Koyama S, Overdevest JB, Pirastu N, Ramirez VA, Roberts SC, Smith BC, Cao H, Wang H, Balungwe P, Baguma M, Hummel T, Hayes JE, Reed DR, Niv MY, Munger SD, Parma V""",doi:10.1101/2020.07.22.20157263,,,,DC019578,medRxiv : the preprint server for health sciences,2020
32676608,Objective sensory testing methods reveal a higher prevalence of olfactory loss in COVID-19 positive patients compared to subjective methods: A systematic review and meta-analysis.,PMC7359533,"""Hannum ME, Ramirez VA, Lipson SJ, Herriman RD, Toskala AK, Lin C, Joseph PV, Reed DR""",doi:10.1101/2020.07.04.20145870,,,,DC019578,medRxiv : the preprint server for health sciences,2020
32564071,"More Than Smell-COVID-19 Is Associated With Severe Impairment of Smell, Taste, and Chemesthesis.",PMC7337664,"""Parma V, Ohla K, Veldhuizen MG, Niv MY, Kelly CE, Bakke AJ, Cooper KW, Bouysset C, Pirastu N, Dibattista M, Kaur R, Liuzza MT, Pepino MY, Schöpf V, Pereda-Loth V, Olsson SB, Gerkin RC, Rohlfs Domínguez P, Albayay J, Farruggia MC, Bhutani S, Fjaeldstad AW, Kumar R, Menini A, Bensafi M, Sandell M, Konstantinidis I, Di Pizio A, Genovese F, Öztürk L, Thomas-Danguin T, Frasnelli J, Boesveldt S, Saatci Ö, Saraiva LR, Lin C, Golebiowski J, Hwang LD, Ozdener MH, Guàrdia MD, Laudamiel C, Ritchie M, Havlícek J, Pierron D, Roura E, Navarro M, Nolden AA, Lim J, Whitcroft KL, Colquitt LR, Ferdenzi C, Brindha EV, Altundag A, Macchi A, Nunez-Parra A, Patel ZM, Fiorucci S, Philpott CM, Smith BC, Lundström JN, Mucignat C, Parker JK, van den Brink M, Schmuker M, Fischmeister FPS, Heinbockel T, Shields VDC, Faraji F, Santamaría E, Fredborg WEA, Morini G, Olofsson JK, Jalessi M, Karni N, ""DErrico A"", Alizadeh R, Pellegrino R, Meyer P, Huart C, Chen B, Soler GM, Alwashahi MK, Welge-Lüssen A, Freiherr J, de Groot JHB, Klein H, Okamoto M, Singh PB, Hsieh JW, GCCR Group Author, Reed DR, Hummel T, Munger SD, Hayes JE""",doi:10.1093/chemse/bjaa041,"""head and neck surgery, olfaction, somatosensation""","""D000328, D000368, D000073640, D000086382, D018352, D005260, D006801, D008297, D008875, D000857, D058873, D011024, D000086402, D057566, D012903, D020886, D011795, D013649, D013651, D055815""","""Adult, Aged, Betacoronavirus, COVID-19, Coronavirus Infections, Female, Humans, Male, Middle Aged, Olfaction Disorders, Pandemics, Pneumonia, Viral, SARS-CoV-2, Self Report, Smell, Somatosensory Disorders, Surveys and Questionnaires, Taste, Taste Disorders, Young Adult""",DC019578,Chemical senses,2020
32556127,Identifying Treatments for Taste and Smell Disorders: Gaps and Opportunities.,PMC7545248,"""Mainland JD, Barlow LA, Munger SD, Millar SE, Vergara MN, Jiang P, Schwob JE, Goldstein BJ, Boye SE, Martens JR, Leopold DA, Bartoshuk LM, Doty RL, Hummel T, Pinto JM, Trimmer C, Kelly C, Pribitkin EA, Reed DR""",doi:10.1093/chemse/bjaa038,"""cell culture, olfaction, sniff""","""D003226, D015316, D006801, D000857, D044968, D054852, D033581, D013234, D013651""","""Congresses as Topic, Genetic Therapy, Humans, Olfaction Disorders, Regenerative Medicine, Small Molecule Libraries, Stem Cell Transplantation, Stem Cells, Taste Disorders""",DC019578,Chemical senses,2020
37350646,Covid-19 affects taste independent of taste-smell confusions: results from a combined chemosensory home test and online survey from a large global cohort.,PMC10396355,"""Nguyen H, Albayay J, Höchenberger R, Bhutani S, Boesveldt S, Busch NA, Croijmans I, Cooper KW, de Groot JHB, Farruggia MC, Fjaeldstad AW, Hayes JE, Hummel T, Joseph PV, Laktionova TK, Thomas-Danguin T, Veldhuizen MG, Voznessenskaya VV, Parma V, Pepino MY, Ohla K""",doi:10.1093/chemse/bjad020,"""ageusia, anosmia, chemesthesis, gustation, olfaction, taste–smell confusion""","""D006801, D000086382, D012903, D013649, D000370, D000086582, D000086402, D003430, D000857, D013651""","""Humans, COVID-19, Smell, Taste, Ageusia, Anosmia, SARS-CoV-2, Cross-Sectional Studies, Olfaction Disorders, Taste Disorders""",DC019573,Chemical senses,2023
37034638,"Transient loss and recovery of oral chemesthesis, taste and smell with COVID-19: a small case-control series.",PMC10081393,"""Weir EM, Exten C, Gerkin RC, Munger SD, Hayes JE""",doi:10.1101/2023.03.27.23287763,,,,DC019573,medRxiv : the preprint server for health sciences,2023
36469087,The Adaptive Olfactory Measure of Threshold (ArOMa-T): a rapid test of olfactory function.,PMC9798529,"""Weir EM, Hannum ME, Reed DR, Joseph PV, Munger SD, Hayes JE, Gerkin RC""",doi:10.1093/chemse/bjac036,"""COVID-19, adaptive algorithm, anosmia, detection threshold, sex differences, smell""","""D005260, D006801, D009812, D015203, D001499, D012684, D000086382, D012903, D000857""","""Female, Humans, Odorants, Reproducibility of Results, Bayes Theorem, Sensory Thresholds, COVID-19, Smell, Olfaction Disorders""",DC019573,Chemical senses,2022
35313597,The Adaptive Olfactory Measure of Threshold (ArOMa-T): A rapid test of olfactory function.,PMC8936104,"""Weir EM, Hannum ME, Reed DR, Joseph PV, Munger SD, Hayes JE, Gerkin RC""",doi:10.1101/2022.03.08.22272086,,,,DC019573,medRxiv : the preprint server for health sciences,2022
34848930,Massively collaborative crowdsourced research on COVID19 and the chemical senses: Insights and outcomes.,PMC8616712,"""Weir EM, Reed DR, Pepino MY, Veldhuizen MG, Hayes JE""",doi:10.1016/j.foodqual.2021.104483,"""Anosmia, COVID19, GCCR, Open science, Smell, Taste""",,,DC019573,Food quality and preference,2022
33860304,Parsing Sage and Rosemary in Time: The Machine Learning Race to Crack Olfactory Perception.,PMC8130506,"""Gerkin RC""",doi:10.1093/chemse/bjab020,"""computation, feature extraction, modeling, olfaction, psychophysics, smell""","""D006801, D000069550, D015394, D009812, D055696, D013997, D055549""","""Humans, Machine Learning, Molecular Structure, Odorants, Olfactory Perception, Time Factors, Volatile Organic Compounds""",DC019573,Chemical senses,2021
32997557,Kv4 channel expression and kinetics in GABAergic and non-GABAergic rNST neurons.,PMC7814911,"""Chen Z, Boxwell A, Conte C, Haas T, Harley A, Terman DH, Travers SP, Travers JB""",doi:10.1152/jn.00396.2020,"""brain stem, computational model, dynamic clamp, mouse, taste""","""D000818, D055724, D005260, D059330, D007395, D008297, D051379, D008822, D051672, D017552, D055697""","""Animals, Electrophysiological Phenomena, Female, GABAergic Neurons, Interneurons, Male, Mice, Mice, Transgenic, Shal Potassium Channels, Solitary Nucleus, Taste Perception""",DC016112,Journal of neurophysiology,2020
37421280,Adenosine A(2A) Receptor Regulates microRNA-181b Expression in Aorta: Therapeutic Implications for Large-Artery Stiffness.,PMC10382090,"""Akiyoshi K, Fujimori T, Fu X, Shah AP, Yamaguchi A, Steenbergen C, Santhanam L, Berkowitz D, Tuday E, Baraban JM, Das S""",doi:10.1161/JAHA.122.028421,"""adenosine A2A receptor, microRNA, microRNA degradation, microRNA‐181b, translin/trax, vascular stiffness""","""D006801, D051379, D000818, D043705, D004268, D002352, D035683, D001011, D000241, D014867""","""Humans, Mice, Animals, Receptor, Adenosine A2A, DNA-Binding Proteins, Carrier Proteins, MicroRNAs, Aorta, Adenosine, Water""",TR003780,Journal of the American Heart Association,2023
36827227,Contribution of skeletal muscle-specific microRNA-133b to insulin resistance in heart failure.,PMC10069972,"""Velasquez FC, Roman B, Hernández-Ochoa EO, Leppo MK, Truong SK, Steenbergen C, Schneider MF, Weiss RG, Das S""",doi:10.1152/ajpheart.00250.2022,"""heart failure, miR-133b, microRNA, mitochondria, skeletal muscle""","""D051379, D000818, D007333, D000070416, D018482, D005947, D035683, D007328, D006333, D051246, D051275""","""Mice, Animals, Insulin Resistance, Antagomirs, Muscle, Skeletal, Glucose, MicroRNAs, Insulin, Heart Failure, Glucose Transport Proteins, Facilitative, Glucose Transporter Type 4""",TR003780,American journal of physiology. Heart and circulatory physiology,2023
34879063,Role of miR-181c in Diet-induced obesity through regulation of lipid synthesis in liver.,PMC8654194,"""Akiyoshi K, Boersma GJ, Johnson MD, Velasquez FC, Dunkerly-Eyring B, ""OBrien S"", Yamaguchi A, Steenbergen C, Tamashiro KLK, Das S""",doi:10.1371/journal.pone.0256973,,"""D000818, D059305, D022781, D050155, D008099, D008297, D051379, D018345, D035683, D009765, D014280""","""Animals, Diet, High-Fat, Hepatocytes, Lipogenesis, Liver, Male, Mice, Mice, Knockout, MicroRNAs, Obesity, Triglycerides""",TR003780,PloS one,2021
34646165,Deciphering the Role of microRNAs in Large-Artery Stiffness Associated With Aging: Focus on miR-181b.,PMC8504676,"""Baraban JM, Tuday E, Berkowitz DE, Das S""",doi:10.3389/fphys.2021.747789,"""aging, arterial stiffness, miR-181b, microRNA degradation, translin/trax""",,,TR003780,Frontiers in physiology,2021
